"Name","algorithm","alpha","epsilon","epsilon_decay","seed","Episode_return"
"sarsa_alpha0.10053300547986783_epsilon0.01894107573980066_epsilon_decay0.9164155239578848_seed30","sarsa","0.10053300547986783","0.01894107573980066","0.9164155239578848","30","-183"
"sarsa_alpha0.04705346370851865_epsilon0.15257317311971716_epsilon_decay0.958183089616146_seed40","sarsa","0.04705346370851865","0.15257317311971716","0.958183089616146","40","-159"
"sarsa_alpha0.5226869731941355_epsilon0.18299861059814793_epsilon_decay0.9751984532672642_seed20","sarsa","0.5226869731941355","0.18299861059814793","0.9751984532672642","20","-199"
"sarsa_alpha0.06616718674866351_epsilon0.0475878975025805_epsilon_decay0.9029688893533616_seed20","sarsa","0.06616718674866351","0.0475878975025805","0.9029688893533616","20","-195"
"sarsa_alpha0.92122479674928_epsilon0.02702711444980473_epsilon_decay0.9116292955755052_seed30","sarsa","0.92122479674928","0.02702711444980473","0.9116292955755052","30","-353"
"sarsa_alpha0.9609527563967584_epsilon0.18143591170234732_epsilon_decay0.9432201980868484_seed10","sarsa","0.9609527563967584","0.18143591170234732","0.9432201980868484","10","-500"
"sarsa_alpha0.9945402750781224_epsilon0.06816757666578646_epsilon_decay0.9181667397497084_seed50","sarsa","0.9945402750781224","0.06816757666578646","0.9181667397497084","50","-500"
"sarsa_alpha0.014525078248077588_epsilon0.04704501076126193_epsilon_decay0.9527911853009188_seed30","sarsa","0.014525078248077588","0.04704501076126193","0.9527911853009188","30","-153"
"sarsa_alpha0.03051625804934212_epsilon0.01310208284874623_epsilon_decay0.9521098511212724_seed40","sarsa","0.03051625804934212","0.01310208284874623","0.9521098511212724","40","-153"
"sarsa_alpha0.08264769700513631_epsilon0.13266314972444748_epsilon_decay0.96446953657133_seed50","sarsa","0.08264769700513631","0.13266314972444748","0.96446953657133","50","-217"
"sarsa_alpha0.13816138376839368_epsilon0.06969751656569016_epsilon_decay0.9409912054323128_seed40","sarsa","0.13816138376839368","0.06969751656569016","0.9409912054323128","40","-214"
"sarsa_alpha0.011238353242675978_epsilon0.18693842654677667_epsilon_decay0.9870384574170455_seed40","sarsa","0.011238353242675978","0.18693842654677667","0.9870384574170455","40","-228"
"sarsa_alpha0.10517003969862096_epsilon0.03264211478033658_epsilon_decay0.93486154166894_seed20","sarsa","0.10517003969862096","0.03264211478033658","0.93486154166894","20","-223"
"sarsa_alpha0.02685327780812064_epsilon0.05441649878610462_epsilon_decay0.9487935881392604_seed40","sarsa","0.02685327780812064","0.05441649878610462","0.9487935881392604","40","-144"
"sarsa_alpha0.014148047829099758_epsilon0.054086299301747714_epsilon_decay0.9038535000859552_seed30","sarsa","0.014148047829099758","0.054086299301747714","0.9038535000859552","30","-191"
"sarsa_alpha0.7807113575531601_epsilon0.02876759623812518_epsilon_decay0.9715368365843864_seed30","sarsa","0.7807113575531601","0.02876759623812518","0.9715368365843864","30","-414"
