"Name","algorithm","alpha","epsilon","epsilon_decay","seed","Total_steps"
"sarsa_alpha0.25325733112627524_epsilon0.011981174511314623_epsilon_decay0.952529791972806_seed20","sarsa","0.25325733112627524","0.011981174511314623","0.952529791972806","20","49"
"sarsa_alpha0.07569417367976888_epsilon0.18744523650426656_epsilon_decay0.925981147397928_seed30","sarsa","0.07569417367976888","0.18744523650426656","0.925981147397928","30","100"
"sarsa_alpha0.14316918183771526_epsilon0.0358569890032784_epsilon_decay0.9538069646111832_seed30","sarsa","0.14316918183771526","0.0358569890032784","0.9538069646111832","30","24"
"sarsa_alpha0.273640238290362_epsilon0.01027387270981618_epsilon_decay0.91488797065136_seed30","sarsa","0.273640238290362","0.01027387270981618","0.91488797065136","30","38"
"sarsa_alpha0.523866806088946_epsilon0.13075176044883322_epsilon_decay0.9338745521848572_seed40","sarsa","0.523866806088946","0.13075176044883322","0.9338745521848572","40","17"
"sarsa_alpha0.5821164690122971_epsilon0.0997593375640032_epsilon_decay0.92684716053871_seed50","sarsa","0.5821164690122971","0.0997593375640032","0.92684716053871","50","28"
"sarsa_alpha0.979566161849647_epsilon0.07726095998082663_epsilon_decay0.9444017701436436_seed30","sarsa","0.979566161849647","0.07726095998082663","0.9444017701436436","30","7"
"sarsa_alpha0.1403164795068406_epsilon0.0274151816043142_epsilon_decay0.981914448054698_seed40","sarsa","0.1403164795068406","0.0274151816043142","0.981914448054698","40","72"
"sarsa_alpha0.37752304988497853_epsilon0.08628961470435861_epsilon_decay0.960586287769008_seed40","sarsa","0.37752304988497853","0.08628961470435861","0.960586287769008","40","67"
"sarsa_alpha0.9615480729458946_epsilon0.021167543341223005_epsilon_decay0.9177781304758744_seed40","sarsa","0.9615480729458946","0.021167543341223005","0.9177781304758744","40","100"
"sarsa_alpha0.10593136666608698_epsilon0.030915727058535257_epsilon_decay0.9423579591403348_seed40","sarsa","0.10593136666608698","0.030915727058535257","0.9423579591403348","40","30"
"sarsa_alpha0.3347675034666941_epsilon0.09982584270428586_epsilon_decay0.9060441821819224_seed20","sarsa","0.3347675034666941","0.09982584270428586","0.9060441821819224","20","2"
"sarsa_alpha0.05450778716170143_epsilon0.05336366173742658_epsilon_decay0.9053079916834288_seed40","sarsa","0.05450778716170143","0.05336366173742658","0.9053079916834288","40","94"
"sarsa_alpha0.3860543196697877_epsilon0.03417993515801916_epsilon_decay0.9544523039215796_seed30","sarsa","0.3860543196697877","0.03417993515801916","0.9544523039215796","30","100"
"sarsa_alpha0.5238464731377138_epsilon0.029436591789068413_epsilon_decay0.9075269023369772_seed50","sarsa","0.5238464731377138","0.029436591789068413","0.9075269023369772","50","68"
"sarsa_alpha0.18077792410076077_epsilon0.013967650036326235_epsilon_decay0.932223500763493_seed40","sarsa","0.18077792410076077","0.013967650036326235","0.932223500763493","40","70"
"sarsa_alpha0.30304709656051715_epsilon0.01646312516240805_epsilon_decay0.9324021731530524_seed30","sarsa","0.30304709656051715","0.01646312516240805","0.9324021731530524","30","100"
"sarsa_alpha0.4366039430549888_epsilon0.03294746505374002_epsilon_decay0.964656930356561_seed40","sarsa","0.4366039430549888","0.03294746505374002","0.964656930356561","40","100"
"sarsa_alpha0.6492749149205266_epsilon0.15614708582745448_epsilon_decay0.9142236508378302_seed40","sarsa","0.6492749149205266","0.15614708582745448","0.9142236508378302","40","33"
"sarsa_alpha0.25506279688418515_epsilon0.1135197037728158_epsilon_decay0.9437791857972307_seed30","sarsa","0.25506279688418515","0.1135197037728158","0.9437791857972307","30","41"
"sarsa_alpha0.20579754746814116_epsilon0.14676282425902443_epsilon_decay0.921259448127792_seed30","sarsa","0.20579754746814116","0.14676282425902443","0.921259448127792","30","29"
"sarsa_alpha0.8554602138424413_epsilon0.1575833090499641_epsilon_decay0.9374229370688196_seed30","sarsa","0.8554602138424413","0.1575833090499641","0.9374229370688196","30","11"
"sarsa_alpha0.15630046139375683_epsilon0.056884157756876566_epsilon_decay0.914407198845696_seed40","sarsa","0.15630046139375683","0.056884157756876566","0.914407198845696","40","55"
"sarsa_alpha0.19083690352104013_epsilon0.026015539582150457_epsilon_decay0.9026872920666072_seed40","sarsa","0.19083690352104013","0.026015539582150457","0.9026872920666072","40","100"
"sarsa_alpha0.9005501626776576_epsilon0.01493445851141448_epsilon_decay0.9676267019391824_seed40","sarsa","0.9005501626776576","0.01493445851141448","0.9676267019391824","40","8"
"sarsa_alpha0.08212934849844353_epsilon0.027687463184756247_epsilon_decay0.9872189888937016_seed50","sarsa","0.08212934849844353","0.027687463184756247","0.9872189888937016","50","100"
"sarsa_alpha0.8971105916282267_epsilon0.18252566237291076_epsilon_decay0.946933025412888_seed10","sarsa","0.8971105916282267","0.18252566237291076","0.946933025412888","10","44"
"sarsa_alpha0.5525497405195012_epsilon0.02122416806948965_epsilon_decay0.981244292735295_seed30","sarsa","0.5525497405195012","0.02122416806948965","0.981244292735295","30","96"
"sarsa_alpha0.6261426556432472_epsilon0.1850104935187398_epsilon_decay0.9853868861097164_seed10","sarsa","0.6261426556432472","0.1850104935187398","0.9853868861097164","10","10"
"sarsa_alpha0.32627087157519363_epsilon0.09612833956882674_epsilon_decay0.9512937639237304_seed20","sarsa","0.32627087157519363","0.09612833956882674","0.9512937639237304","20","6"
"sarsa_alpha0.19207209422785015_epsilon0.09307828758304608_epsilon_decay0.961454991612888_seed40","sarsa","0.19207209422785015","0.09307828758304608","0.961454991612888","40","46"
"sarsa_alpha0.7826147596739038_epsilon0.030503096277650195_epsilon_decay0.9301473720878118_seed20","sarsa","0.7826147596739038","0.030503096277650195","0.9301473720878118","20","77"
"sarsa_alpha0.12666724546251282_epsilon0.029088385183363027_epsilon_decay0.9677366806840784_seed20","sarsa","0.12666724546251282","0.029088385183363027","0.9677366806840784","20","100"
"sarsa_alpha0.463703860104164_epsilon0.03952371735242968_epsilon_decay0.947878237067942_seed20","sarsa","0.463703860104164","0.03952371735242968","0.947878237067942","20","100"
"sarsa_alpha0.20741972073523576_epsilon0.07728324991133866_epsilon_decay0.9649633100407736_seed20","sarsa","0.20741972073523576","0.07728324991133866","0.9649633100407736","20","100"
"sarsa_alpha0.6449366241156969_epsilon0.13872614221919038_epsilon_decay0.977371031430301_seed40","sarsa","0.6449366241156969","0.13872614221919038","0.977371031430301","40","3"
"sarsa_alpha0.08446722644444259_epsilon0.15126842421970563_epsilon_decay0.900891841406333_seed10","sarsa","0.08446722644444259","0.15126842421970563","0.900891841406333","10","39"
"sarsa_alpha0.026512130990202897_epsilon0.09924092266728216_epsilon_decay0.9662614247269063_seed20","sarsa","0.026512130990202897","0.09924092266728216","0.9662614247269063","20","48"
"sarsa_alpha0.8272512982703338_epsilon0.14591199843653724_epsilon_decay0.983507734933436_seed50","sarsa","0.8272512982703338","0.14591199843653724","0.983507734933436","50","3"
"sarsa_alpha0.026074744748460815_epsilon0.145293502276935_epsilon_decay0.968979159919896_seed20","sarsa","0.026074744748460815","0.145293502276935","0.968979159919896","20","46"
"sarsa_alpha0.10318442779421325_epsilon0.14588571561330554_epsilon_decay0.9532845644404928_seed20","sarsa","0.10318442779421325","0.14588571561330554","0.9532845644404928","20","67"
"sarsa_alpha0.3352442108330113_epsilon0.04319434690614026_epsilon_decay0.9688266039194104_seed20","sarsa","0.3352442108330113","0.04319434690614026","0.9688266039194104","20","100"
"sarsa_alpha0.4051330466768095_epsilon0.12148686944379916_epsilon_decay0.965776833686254_seed10","sarsa","0.4051330466768095","0.12148686944379916","0.965776833686254","10","9"
"sarsa_alpha0.9565098753200798_epsilon0.11591207643220185_epsilon_decay0.98759453838593_seed10","sarsa","0.9565098753200798","0.11591207643220185","0.98759453838593","10","6"
"sarsa_alpha0.28358829581511136_epsilon0.12277613053372526_epsilon_decay0.9116620446770128_seed40","sarsa","0.28358829581511136","0.12277613053372526","0.9116620446770128","40","34"
"sarsa_alpha0.7886631417690034_epsilon0.16875849471410365_epsilon_decay0.909196815498728_seed30","sarsa","0.7886631417690034","0.16875849471410365","0.909196815498728","30","7"
"sarsa_alpha0.313286085363096_epsilon0.11803746794517005_epsilon_decay0.9408642190394202_seed40","sarsa","0.313286085363096","0.11803746794517005","0.9408642190394202","40","22"
"sarsa_alpha0.32029540976278575_epsilon0.05864228981263169_epsilon_decay0.9432842592302384_seed50","sarsa","0.32029540976278575","0.05864228981263169","0.9432842592302384","50","100"
"sarsa_alpha0.9629476627352236_epsilon0.1506068151765152_epsilon_decay0.9297779921160436_seed50","sarsa","0.9629476627352236","0.1506068151765152","0.9297779921160436","50","37"
"sarsa_alpha0.5798736227093626_epsilon0.028234992354634315_epsilon_decay0.907564291791254_seed10","sarsa","0.5798736227093626","0.028234992354634315","0.907564291791254","10","4"
"sarsa_alpha0.286599188610451_epsilon0.10979557586830574_epsilon_decay0.9210382668053636_seed20","sarsa","0.286599188610451","0.10979557586830574","0.9210382668053636","20","27"
"sarsa_alpha0.9360025577131204_epsilon0.06350246219511835_epsilon_decay0.9477373658427783_seed50","sarsa","0.9360025577131204","0.06350246219511835","0.9477373658427783","50","3"
"sarsa_alpha0.0965119300207987_epsilon0.17902538270234386_epsilon_decay0.9431105557842572_seed40","sarsa","0.0965119300207987","0.17902538270234386","0.9431105557842572","40","15"
"sarsa_alpha0.7654585499972774_epsilon0.02157343244926541_epsilon_decay0.9464012747532604_seed40","sarsa","0.7654585499972774","0.02157343244926541","0.9464012747532604","40","100"
"sarsa_alpha0.27582596716167235_epsilon0.03222740974978734_epsilon_decay0.921405532533208_seed10","sarsa","0.27582596716167235","0.03222740974978734","0.921405532533208","10","25"
"sarsa_alpha0.039832098447089_epsilon0.0705711075104407_epsilon_decay0.9196115082268368_seed50","sarsa","0.039832098447089","0.0705711075104407","0.9196115082268368","50","36"
"sarsa_alpha0.7859154109776088_epsilon0.12102382206948543_epsilon_decay0.9751847717034972_seed30","sarsa","0.7859154109776088","0.12102382206948543","0.9751847717034972","30","49"
