"Name","algorithm","alpha","seed","tau","tau_decay","Episode_return"
"q_learning_alpha0.9248369983168272_tau2.4185135406415537_tau_decay0.9026157006180318_seed50","q_learning","0.9248369983168272","50","2.4185135406415537","0.9026157006180318","50"
"q_learning_alpha0.6615112359425462_tau0.6725485091549201_tau_decay0.962911590636078_seed10","q_learning","0.6615112359425462","10","0.6725485091549201","0.962911590636078","25"
"q_learning_alpha0.9267146272549838_tau1.7145999009849464_tau_decay0.9631392549331824_seed50","q_learning","0.9267146272549838","50","1.7145999009849464","0.9631392549331824","46"
"q_learning_alpha0.904356546467897_tau0.7569426510299695_tau_decay0.9687550232292726_seed30","q_learning","0.904356546467897","30","0.7569426510299695","0.9687550232292726","26"
"q_learning_alpha0.8655293524885468_tau3.5927886874830515_tau_decay0.9661230390511588_seed40","q_learning","0.8655293524885468","40","3.5927886874830515","0.9661230390511588","65"
"q_learning_alpha0.3303209641342811_tau1.0335907430783338_tau_decay0.9414560373357892_seed40","q_learning","0.3303209641342811","40","1.0335907430783338","0.9414560373357892","121"
"q_learning_alpha0.7670220956840336_tau3.329526578762251_tau_decay0.954599308858267_seed10","q_learning","0.7670220956840336","10","3.329526578762251","0.954599308858267","28"
"q_learning_alpha0.7702873343418335_tau3.272083836985872_tau_decay0.9518412375839382_seed20","q_learning","0.7702873343418335","20","3.272083836985872","0.9518412375839382","303"
"q_learning_alpha0.7716118369148112_tau3.815691540138278_tau_decay0.9608037841885536_seed20","q_learning","0.7716118369148112","20","3.815691540138278","0.9608037841885536","151"
"q_learning_alpha0.6257191692436569_tau0.9316816220866442_tau_decay0.93358006915969_seed20","q_learning","0.6257191692436569","20","0.9316816220866442","0.93358006915969","56"
"q_learning_alpha0.4536318135344279_tau3.5770133003436384_tau_decay0.9479224477396484_seed10","q_learning","0.4536318135344279","10","3.5770133003436384","0.9479224477396484","121"
"q_learning_alpha0.7053797480482974_tau3.583627249371039_tau_decay0.971773876661418_seed10","q_learning","0.7053797480482974","10","3.583627249371039","0.971773876661418","156"
"q_learning_alpha0.23734920013763405_tau0.952233785995662_tau_decay0.9450583168331528_seed50","q_learning","0.23734920013763405","50","0.952233785995662","0.9450583168331528","72"
"q_learning_alpha0.43671589758520984_tau0.7232253623949694_tau_decay0.904370521059481_seed20","q_learning","0.43671589758520984","20","0.7232253623949694","0.904370521059481","20"
"q_learning_alpha0.4417998206163816_tau0.6889231671216471_tau_decay0.9433344313099348_seed40","q_learning","0.4417998206163816","40","0.6889231671216471","0.9433344313099348","33"
"q_learning_alpha0.6466549110891455_tau3.5988688654257928_tau_decay0.9493066860588586_seed10","q_learning","0.6466549110891455","10","3.5988688654257928","0.9493066860588586","254"
"q_learning_alpha0.6904953822947989_tau3.214127939993383_tau_decay0.9824036185506244_seed20","q_learning","0.6904953822947989","20","3.214127939993383","0.9824036185506244","208"
"q_learning_alpha0.966648327319699_tau1.8421588583551487_tau_decay0.9233897684685732_seed20","q_learning","0.966648327319699","20","1.8421588583551487","0.9233897684685732","28"
"q_learning_alpha0.5393949190663935_tau3.046848496157122_tau_decay0.9858751558568026_seed20","q_learning","0.5393949190663935","20","3.046848496157122","0.9858751558568026","100"
"q_learning_alpha0.5380601908885273_tau2.1251453639952316_tau_decay0.9057646119519172_seed50","q_learning","0.5380601908885273","50","2.1251453639952316","0.9057646119519172","100"
