"Name","algorithm","alpha","seed","tau","tau_decay","Total_steps"
"q_learning_alpha0.07987693116422416_tau1.7966151805081296_tau_decay0.9172675120905712_seed20","q_learning","0.07987693116422416","20","1.7966151805081296","0.9172675120905712","4"
"q_learning_alpha0.8948241538942322_tau1.8085272097139584_tau_decay0.9124879402045394_seed10","q_learning","0.8948241538942322","10","1.8085272097139584","0.9124879402045394","20"
"q_learning_alpha0.901196338511854_tau2.447182436819457_tau_decay0.9026671214694332_seed30","q_learning","0.901196338511854","30","2.447182436819457","0.9026671214694332","3"
"q_learning_alpha0.4676625170560175_tau2.862947992744151_tau_decay0.9562706588273344_seed40","q_learning","0.4676625170560175","40","2.862947992744151","0.9562706588273344","4"
"q_learning_alpha0.33983188343917553_tau1.6750943672489798_tau_decay0.9750691125832406_seed20","q_learning","0.33983188343917553","20","1.6750943672489798","0.9750691125832406","10"
"q_learning_alpha0.675602902673228_tau3.824215460815776_tau_decay0.9437090228219168_seed20","q_learning","0.675602902673228","20","3.824215460815776","0.9437090228219168","3"
"q_learning_alpha0.9587599955258514_tau1.5437440666277755_tau_decay0.9292143520344136_seed50","q_learning","0.9587599955258514","50","1.5437440666277755","0.9292143520344136","5"
"q_learning_alpha0.6792425418695255_tau3.908452083111325_tau_decay0.9145416582470174_seed30","q_learning","0.6792425418695255","30","3.908452083111325","0.9145416582470174","4"
"q_learning_alpha0.5365107037569388_tau2.4491452350238356_tau_decay0.9522077622801046_seed10","q_learning","0.5365107037569388","10","2.4491452350238356","0.9522077622801046","9"
"q_learning_alpha0.8374462403551608_tau2.5726096661924536_tau_decay0.9677381791161124_seed40","q_learning","0.8374462403551608","40","2.5726096661924536","0.9677381791161124","6"
"q_learning_alpha0.3329086257814642_tau2.380764652855188_tau_decay0.9080055692336216_seed30","q_learning","0.3329086257814642","30","2.380764652855188","0.9080055692336216","2"
"q_learning_alpha0.07485031251080657_tau1.2867153713785735_tau_decay0.9243844661642204_seed40","q_learning","0.07485031251080657","40","1.2867153713785735","0.9243844661642204","4"
"q_learning_alpha0.5224876907233734_tau1.5527897948522194_tau_decay0.9410995806462232_seed30","q_learning","0.5224876907233734","30","1.5527897948522194","0.9410995806462232","4"
"q_learning_alpha0.4506693332092436_tau3.1052047896642323_tau_decay0.9805838917231716_seed30","q_learning","0.4506693332092436","30","3.1052047896642323","0.9805838917231716","3"
"q_learning_alpha0.6593618393590126_tau2.266555314662697_tau_decay0.9172382187955904_seed20","q_learning","0.6593618393590126","20","2.266555314662697","0.9172382187955904","6"
"q_learning_alpha0.1698658392973857_tau2.563895464848959_tau_decay0.9019873309154968_seed40","q_learning","0.1698658392973857","40","2.563895464848959","0.9019873309154968","3"
"q_learning_alpha0.6892772566235775_tau1.8461009788504408_tau_decay0.9413254692873814_seed20","q_learning","0.6892772566235775","20","1.8461009788504408","0.9413254692873814","4"
"q_learning_alpha0.8885762581491862_tau3.5789758836810055_tau_decay0.9537334853787774_seed10","q_learning","0.8885762581491862","10","3.5789758836810055","0.9537334853787774","3"
"q_learning_alpha0.7658978523463144_tau2.6688007864734633_tau_decay0.9797038063182476_seed30","q_learning","0.7658978523463144","30","2.6688007864734633","0.9797038063182476","5"
"q_learning_alpha0.6469845411366989_tau2.166682431260258_tau_decay0.9051051004845218_seed40","q_learning","0.6469845411366989","40","2.166682431260258","0.9051051004845218","14"
"q_learning_alpha0.8958686817386989_tau1.4998507361747342_tau_decay0.9297160294900492_seed10","q_learning","0.8958686817386989","10","1.4998507361747342","0.9297160294900492","4"
"q_learning_alpha0.9351507528573764_tau2.3805851931287116_tau_decay0.9867279784547848_seed40","q_learning","0.9351507528573764","40","2.3805851931287116","0.9867279784547848","3"
"q_learning_alpha0.2047738556898465_tau2.321189870094845_tau_decay0.9082138694616748_seed10","q_learning","0.2047738556898465","10","2.321189870094845","0.9082138694616748","10"
"q_learning_alpha0.9165068474554314_tau3.658776300578894_tau_decay0.9257462050044536_seed30","q_learning","0.9165068474554314","30","3.658776300578894","0.9257462050044536","13"
"q_learning_alpha0.5470711472989951_tau1.2434072764304436_tau_decay0.9135149677001428_seed20","q_learning","0.5470711472989951","20","1.2434072764304436","0.9135149677001428","11"
"q_learning_alpha0.4251023508984087_tau1.2640880478558056_tau_decay0.9459536637734608_seed20","q_learning","0.4251023508984087","20","1.2640880478558056","0.9459536637734608","8"
"q_learning_alpha0.10719792647177862_tau2.7986915133038908_tau_decay0.9337878409238702_seed10","q_learning","0.10719792647177862","10","2.7986915133038908","0.9337878409238702","12"
"q_learning_alpha0.8671605423934909_tau3.506518757210913_tau_decay0.9469389884107432_seed10","q_learning","0.8671605423934909","10","3.506518757210913","0.9469389884107432","4"
"q_learning_alpha0.19688001335536637_tau2.1244639817241517_tau_decay0.9663054767344352_seed20","q_learning","0.19688001335536637","20","2.1244639817241517","0.9663054767344352","2"
"q_learning_alpha0.527047325353821_tau2.5068462001590928_tau_decay0.9650402177795084_seed20","q_learning","0.527047325353821","20","2.5068462001590928","0.9650402177795084","2"
"q_learning_alpha0.12153592192626074_tau2.2522549639400724_tau_decay0.9682121617706771_seed20","q_learning","0.12153592192626074","20","2.2522549639400724","0.9682121617706771","6"
"q_learning_alpha0.18853926286327327_tau1.4128081903096672_tau_decay0.9378165140736684_seed10","q_learning","0.18853926286327327","10","1.4128081903096672","0.9378165140736684","10"
"q_learning_alpha0.7375414171213961_tau2.242605356220091_tau_decay0.9804212519595698_seed40","q_learning","0.7375414171213961","40","2.242605356220091","0.9804212519595698","3"
"q_learning_alpha0.9329195094219964_tau3.6252986155322984_tau_decay0.9805493839491408_seed10","q_learning","0.9329195094219964","10","3.6252986155322984","0.9805493839491408","3"
"q_learning_alpha0.9473559394357988_tau2.469931611006626_tau_decay0.9810272205678656_seed10","q_learning","0.9473559394357988","10","2.469931611006626","0.9810272205678656","15"
"q_learning_alpha0.026836152837955936_tau3.572301983558865_tau_decay0.9209326767786336_seed30","q_learning","0.026836152837955936","30","3.572301983558865","0.9209326767786336","9"
"q_learning_alpha0.3333319334136805_tau1.959499513619054_tau_decay0.9541666626591094_seed10","q_learning","0.3333319334136805","10","1.959499513619054","0.9541666626591094","3"
"q_learning_alpha0.5279421386245323_tau2.577117181287426_tau_decay0.931165312053546_seed20","q_learning","0.5279421386245323","20","2.577117181287426","0.931165312053546","2"
"q_learning_alpha0.03244430346205138_tau2.171593410967882_tau_decay0.9768250816386762_seed50","q_learning","0.03244430346205138","50","2.171593410967882","0.9768250816386762","2"
"q_learning_alpha0.5756725732281046_tau0.7520218434864377_tau_decay0.9035115294149864_seed30","q_learning","0.5756725732281046","30","0.7520218434864377","0.9035115294149864","5"
"q_learning_alpha0.2836053071303399_tau1.624891295756738_tau_decay0.9049291170767176_seed20","q_learning","0.2836053071303399","20","1.624891295756738","0.9049291170767176","3"
"q_learning_alpha0.68275891282393_tau2.1236966901773267_tau_decay0.9101356111968122_seed40","q_learning","0.68275891282393","40","2.1236966901773267","0.9101356111968122","4"
"q_learning_alpha0.505898169062942_tau3.0970934766521294_tau_decay0.9468414432948976_seed40","q_learning","0.505898169062942","40","3.0970934766521294","0.9468414432948976","6"
"q_learning_alpha0.1932373031421225_tau2.77454358203982_tau_decay0.9340626769046356_seed10","q_learning","0.1932373031421225","10","2.77454358203982","0.9340626769046356","9"
"q_learning_alpha0.12156508651909811_tau3.739661275998445_tau_decay0.9532183694482016_seed40","q_learning","0.12156508651909811","40","3.739661275998445","0.9532183694482016","6"
"q_learning_alpha0.33171798340264824_tau0.7732243432921618_tau_decay0.9711447673604836_seed30","q_learning","0.33171798340264824","30","0.7732243432921618","0.9711447673604836","13"
"q_learning_alpha0.4860459642439941_tau1.5960129571727877_tau_decay0.9485965135814096_seed20","q_learning","0.4860459642439941","20","1.5960129571727877","0.9485965135814096","12"
"q_learning_alpha0.8580399987606299_tau1.7930117434303194_tau_decay0.9587316415538676_seed50","q_learning","0.8580399987606299","50","1.7930117434303194","0.9587316415538676","3"
"q_learning_alpha0.3222255497601999_tau1.0822049015379904_tau_decay0.9535139494547452_seed50","q_learning","0.3222255497601999","50","1.0822049015379904","0.9535139494547452","27"
"q_learning_alpha0.8276326162177914_tau1.3810382133952477_tau_decay0.9579286550504608_seed40","q_learning","0.8276326162177914","40","1.3810382133952477","0.9579286550504608","4"
"q_learning_alpha0.5479010591466882_tau3.722184152378901_tau_decay0.965231531779025_seed20","q_learning","0.5479010591466882","20","3.722184152378901","0.965231531779025","4"
"q_learning_alpha0.11302170758940654_tau0.7717620054439982_tau_decay0.968222492278844_seed10","q_learning","0.11302170758940654","10","0.7717620054439982","0.968222492278844","7"
"q_learning_alpha0.8898916033067882_tau3.4266763451424582_tau_decay0.9870632590576572_seed10","q_learning","0.8898916033067882","10","3.4266763451424582","0.9870632590576572","13"
"q_learning_alpha0.8096241494586565_tau3.407582348962759_tau_decay0.9415126696588714_seed20","q_learning","0.8096241494586565","20","3.407582348962759","0.9415126696588714","17"
"q_learning_alpha0.25116103173491_tau2.7881362112557597_tau_decay0.943193392698674_seed40","q_learning","0.25116103173491","40","2.7881362112557597","0.943193392698674","15"
"q_learning_alpha0.7093449245972615_tau3.911997720054862_tau_decay0.9374063606372144_seed10","q_learning","0.7093449245972615","10","3.911997720054862","0.9374063606372144","7"
"q_learning_alpha0.7473737415499363_tau3.080414410389877_tau_decay0.922365111681396_seed50","q_learning","0.7473737415499363","50","3.080414410389877","0.922365111681396","2"
"q_learning_alpha0.8897795494153872_tau3.388560600039612_tau_decay0.9556852604707896_seed30","q_learning","0.8897795494153872","30","3.388560600039612","0.9556852604707896","8"
"q_learning_alpha0.8466404754353956_tau2.6409014779087547_tau_decay0.9228143723940284_seed30","q_learning","0.8466404754353956","30","2.6409014779087547","0.9228143723940284","9"
"q_learning_alpha0.044209840338014325_tau1.835086438581424_tau_decay0.9508513870951664_seed20","q_learning","0.044209840338014325","20","1.835086438581424","0.9508513870951664","8"
"q_learning_alpha0.3813891498272009_tau0.764271029122622_tau_decay0.969192507345318_seed50","q_learning","0.3813891498272009","50","0.764271029122622","0.969192507345318","26"
"q_learning_alpha0.2083474091269823_tau1.3583586536413574_tau_decay0.9560871174933244_seed10","q_learning","0.2083474091269823","10","1.3583586536413574","0.9560871174933244","3"
"q_learning_alpha0.619675867413924_tau3.703542691983152_tau_decay0.9264753410134888_seed50","q_learning","0.619675867413924","50","3.703542691983152","0.9264753410134888","2"
"q_learning_alpha0.5816921043021905_tau2.054293479974307_tau_decay0.9033066330622672_seed40","q_learning","0.5816921043021905","40","2.054293479974307","0.9033066330622672","9"
"q_learning_alpha0.6601336205628895_tau1.111273700684227_tau_decay0.9203154724268284_seed40","q_learning","0.6601336205628895","40","1.111273700684227","0.9203154724268284","20"
"q_learning_alpha0.9601259862714392_tau1.5727383760383082_tau_decay0.9062748549398368_seed30","q_learning","0.9601259862714392","30","1.5727383760383082","0.9062748549398368","10"
"q_learning_alpha0.8549496062394619_tau0.8897995398783412_tau_decay0.9259961164258262_seed40","q_learning","0.8549496062394619","40","0.8897995398783412","0.9259961164258262","46"
"q_learning_alpha0.2603424858106919_tau3.853962451964284_tau_decay0.9062421009458944_seed50","q_learning","0.2603424858106919","50","3.853962451964284","0.9062421009458944","23"
"q_learning_alpha0.4131855600121029_tau0.8237930303543055_tau_decay0.9370024151246306_seed40","q_learning","0.4131855600121029","40","0.8237930303543055","0.9370024151246306","60"
"q_learning_alpha0.12244843222254648_tau2.305396780893047_tau_decay0.9830314617473038_seed40","q_learning","0.12244843222254648","40","2.305396780893047","0.9830314617473038","3"
"q_learning_alpha0.4495336261352368_tau2.154226651439966_tau_decay0.926649578512692_seed40","q_learning","0.4495336261352368","40","2.154226651439966","0.926649578512692","19"
"q_learning_alpha0.6720718979573499_tau1.478888718684274_tau_decay0.9601545794670204_seed10","q_learning","0.6720718979573499","10","1.478888718684274","0.9601545794670204","33"
"q_learning_alpha0.9781530071330444_tau2.863762722361028_tau_decay0.9584950708284172_seed30","q_learning","0.9781530071330444","30","2.863762722361028","0.9584950708284172","5"
"q_learning_alpha0.9578551664655122_tau3.8489019174204486_tau_decay0.9069414081873703_seed40","q_learning","0.9578551664655122","40","3.8489019174204486","0.9069414081873703","4"
"q_learning_alpha0.27183256488038354_tau3.433303031505434_tau_decay0.9457877380403616_seed30","q_learning","0.27183256488038354","30","3.433303031505434","0.9457877380403616","9"
"q_learning_alpha0.06153665772205041_tau1.9603407106969069_tau_decay0.9180350913611562_seed50","q_learning","0.06153665772205041","50","1.9603407106969069","0.9180350913611562","5"
"q_learning_alpha0.4795424649193784_tau3.153852437570785_tau_decay0.921714829946174_seed20","q_learning","0.4795424649193784","20","3.153852437570785","0.921714829946174","16"
"q_learning_alpha0.4712052545815452_tau3.167565872500427_tau_decay0.9610645885026584_seed20","q_learning","0.4712052545815452","20","3.167565872500427","0.9610645885026584","4"
"q_learning_alpha0.5425317897914579_tau1.5883140875289006_tau_decay0.9709922843008596_seed30","q_learning","0.5425317897914579","30","1.5883140875289006","0.9709922843008596","6"
"q_learning_alpha0.010601426977954465_tau2.551490200542055_tau_decay0.945449413186928_seed40","q_learning","0.010601426977954465","40","2.551490200542055","0.945449413186928","12"
"q_learning_alpha0.9917904545057616_tau2.0622020413815108_tau_decay0.915323972803798_seed30","q_learning","0.9917904545057616","30","2.0622020413815108","0.915323972803798","21"
"q_learning_alpha0.8280001052039623_tau1.0698384397928613_tau_decay0.9399773240150548_seed20","q_learning","0.8280001052039623","20","1.0698384397928613","0.9399773240150548","11"
"q_learning_alpha0.20753804572771503_tau1.5743078358356746_tau_decay0.9175403279326584_seed20","q_learning","0.20753804572771503","20","1.5743078358356746","0.9175403279326584","7"
"q_learning_alpha0.6190774124927957_tau2.856043033727236_tau_decay0.9128880715109716_seed50","q_learning","0.6190774124927957","50","2.856043033727236","0.9128880715109716","5"
"q_learning_alpha0.927016794076605_tau2.6750102310054413_tau_decay0.9591292660383856_seed20","q_learning","0.927016794076605","20","2.6750102310054413","0.9591292660383856","2"
"q_learning_alpha0.8556566817961443_tau0.9987058815267916_tau_decay0.9211456333132602_seed20","q_learning","0.8556566817961443","20","0.9987058815267916","0.9211456333132602","4"
"q_learning_alpha0.8840241750396896_tau1.610425738237084_tau_decay0.9060401514826498_seed50","q_learning","0.8840241750396896","50","1.610425738237084","0.9060401514826498","2"
"q_learning_alpha0.9173799112579032_tau3.234144853738175_tau_decay0.9301298465146752_seed40","q_learning","0.9173799112579032","40","3.234144853738175","0.9301298465146752","8"
"q_learning_alpha0.962871855335879_tau0.9003288793864581_tau_decay0.9366958810940184_seed50","q_learning","0.962871855335879","50","0.9003288793864581","0.9366958810940184","29"
"q_learning_alpha0.5977704574265892_tau2.26721177012202_tau_decay0.9388380354173256_seed10","q_learning","0.5977704574265892","10","2.26721177012202","0.9388380354173256","13"
"q_learning_alpha0.9018626024631784_tau0.7866189292368583_tau_decay0.9743440504937096_seed40","q_learning","0.9018626024631784","40","0.7866189292368583","0.9743440504937096","4"
"q_learning_alpha0.8808976117102846_tau2.9204277128378195_tau_decay0.9672480509339836_seed50","q_learning","0.8808976117102846","50","2.9204277128378195","0.9672480509339836","6"
"q_learning_alpha0.8888716476476886_tau0.6840467411457973_tau_decay0.9536861820890108_seed50","q_learning","0.8888716476476886","50","0.6840467411457973","0.9536861820890108","7"
"q_learning_alpha0.45337687058043413_tau2.12155530438437_tau_decay0.9467917058584088_seed30","q_learning","0.45337687058043413","30","2.12155530438437","0.9467917058584088","7"
"q_learning_alpha0.6694088477358354_tau3.7111083379932_tau_decay0.9314354073640684_seed40","q_learning","0.6694088477358354","40","3.7111083379932","0.9314354073640684","8"
"q_learning_alpha0.5386652973542196_tau2.065246393950564_tau_decay0.9861150673801806_seed20","q_learning","0.5386652973542196","20","2.065246393950564","0.9861150673801806","4"
"q_learning_alpha0.9165634051908766_tau1.2950201610751175_tau_decay0.9488440181636766_seed50","q_learning","0.9165634051908766","50","1.2950201610751175","0.9488440181636766","7"
"q_learning_alpha0.5694062954180085_tau1.251226106605671_tau_decay0.9145293080488756_seed50","q_learning","0.5694062954180085","50","1.251226106605671","0.9145293080488756","23"
"q_learning_alpha0.6604356645950371_tau0.7223497522822806_tau_decay0.9730384719193702_seed50","q_learning","0.6604356645950371","50","0.7223497522822806","0.9730384719193702","4"
"q_learning_alpha0.332676209499428_tau2.5840499931849132_tau_decay0.9437099029697708_seed10","q_learning","0.332676209499428","10","2.5840499931849132","0.9437099029697708","9"
"q_learning_alpha0.5918736990975659_tau0.7292458128464026_tau_decay0.9885895893560528_seed50","q_learning","0.5918736990975659","50","0.7292458128464026","0.9885895893560528","11"
"q_learning_alpha0.32659528110158054_tau3.630537918679413_tau_decay0.910572002689989_seed30","q_learning","0.32659528110158054","30","3.630537918679413","0.910572002689989","11"
"q_learning_alpha0.08825747768003393_tau2.181074399346456_tau_decay0.9535720741691152_seed10","q_learning","0.08825747768003393","10","2.181074399346456","0.9535720741691152","7"
"q_learning_alpha0.26609594378511536_tau3.6269117177415766_tau_decay0.9818008970630542_seed20","q_learning","0.26609594378511536","20","3.6269117177415766","0.9818008970630542","7"
"q_learning_alpha0.6382245418934578_tau0.9816303173605674_tau_decay0.9190303733580032_seed40","q_learning","0.6382245418934578","40","0.9816303173605674","0.9190303733580032","5"
"q_learning_alpha0.9882646344768554_tau0.7882129259018392_tau_decay0.9027129126813178_seed40","q_learning","0.9882646344768554","40","0.7882129259018392","0.9027129126813178","22"
"q_learning_alpha0.5547459437717054_tau1.876662600388497_tau_decay0.9047037447336852_seed30","q_learning","0.5547459437717054","30","1.876662600388497","0.9047037447336852","2"
"q_learning_alpha0.8934445563278436_tau3.924385286527595_tau_decay0.9784111609732112_seed30","q_learning","0.8934445563278436","30","3.924385286527595","0.9784111609732112","4"
"q_learning_alpha0.27088056490740453_tau2.232067944514154_tau_decay0.9667414931196888_seed40","q_learning","0.27088056490740453","40","2.232067944514154","0.9667414931196888","7"
"q_learning_alpha0.07168560310703102_tau2.108505279092422_tau_decay0.9089884650770176_seed20","q_learning","0.07168560310703102","20","2.108505279092422","0.9089884650770176","8"
"q_learning_alpha0.45258959516235303_tau2.1803548777866055_tau_decay0.9084239708324844_seed10","q_learning","0.45258959516235303","10","2.1803548777866055","0.9084239708324844","2"
"q_learning_alpha0.7264909599536551_tau1.6018704183844577_tau_decay0.9844062126273552_seed20","q_learning","0.7264909599536551","20","1.6018704183844577","0.9844062126273552","8"
"q_learning_alpha0.6269205534473409_tau2.692263868191872_tau_decay0.9248469080070288_seed40","q_learning","0.6269205534473409","40","2.692263868191872","0.9248469080070288","8"
"q_learning_alpha0.5290513697148194_tau3.5557302153291253_tau_decay0.9252042842104854_seed40","q_learning","0.5290513697148194","40","3.5557302153291253","0.9252042842104854","9"
"q_learning_alpha0.44111999718321354_tau0.9971744934844896_tau_decay0.9123346122100324_seed30","q_learning","0.44111999718321354","30","0.9971744934844896","0.9123346122100324","17"
"q_learning_alpha0.33628240097275_tau0.5046414638766555_tau_decay0.9529053062699424_seed50","q_learning","0.33628240097275","50","0.5046414638766555","0.9529053062699424","8"
"q_learning_alpha0.8576491722927719_tau3.9649159054788217_tau_decay0.9344218913451042_seed20","q_learning","0.8576491722927719","20","3.9649159054788217","0.9344218913451042","13"
"q_learning_alpha0.31812498300260544_tau1.0513977577156268_tau_decay0.9290784068302432_seed30","q_learning","0.31812498300260544","30","1.0513977577156268","0.9290784068302432","9"
"q_learning_alpha0.5684218211104974_tau1.5582892550827032_tau_decay0.9488669553477306_seed40","q_learning","0.5684218211104974","40","1.5582892550827032","0.9488669553477306","5"
"q_learning_alpha0.6477838837890776_tau2.983187577303548_tau_decay0.9750783017466218_seed40","q_learning","0.6477838837890776","40","2.983187577303548","0.9750783017466218","2"
"q_learning_alpha0.33633870535559257_tau1.510304517331599_tau_decay0.9583617900067334_seed30","q_learning","0.33633870535559257","30","1.510304517331599","0.9583617900067334","5"
"q_learning_alpha0.351906645642897_tau0.6991434743444719_tau_decay0.9695700648987288_seed10","q_learning","0.351906645642897","10","0.6991434743444719","0.9695700648987288","8"
"q_learning_alpha0.5301387335844734_tau0.8847264663960392_tau_decay0.9438000248820324_seed30","q_learning","0.5301387335844734","30","0.8847264663960392","0.9438000248820324","3"
"q_learning_alpha0.34241498582334895_tau0.6174445309218161_tau_decay0.949684198134716_seed30","q_learning","0.34241498582334895","30","0.6174445309218161","0.949684198134716","6"
"q_learning_alpha0.7011869781866997_tau1.0638782734964198_tau_decay0.910542009127182_seed30","q_learning","0.7011869781866997","30","1.0638782734964198","0.910542009127182","4"
"q_learning_alpha0.06822844194086229_tau1.5097529409148511_tau_decay0.9798654786602424_seed30","q_learning","0.06822844194086229","30","1.5097529409148511","0.9798654786602424","5"
"q_learning_alpha0.955866941303926_tau0.8931572935953951_tau_decay0.918948613809536_seed50","q_learning","0.955866941303926","50","0.8931572935953951","0.918948613809536","12"
"q_learning_alpha0.24084030699273656_tau1.1667774481183018_tau_decay0.9676487884561236_seed40","q_learning","0.24084030699273656","40","1.1667774481183018","0.9676487884561236","2"
"q_learning_alpha0.4111177397555962_tau1.7406117000318069_tau_decay0.9246435195111972_seed10","q_learning","0.4111177397555962","10","1.7406117000318069","0.9246435195111972","4"
"q_learning_alpha0.34446632670394745_tau2.702595374715134_tau_decay0.9327728873181728_seed40","q_learning","0.34446632670394745","40","2.702595374715134","0.9327728873181728","3"
"q_learning_alpha0.542468899342248_tau2.0509351533191875_tau_decay0.9679538016808108_seed50","q_learning","0.542468899342248","50","2.0509351533191875","0.9679538016808108","3"
"q_learning_alpha0.9613871255371448_tau1.913586256300092_tau_decay0.925913883748752_seed10","q_learning","0.9613871255371448","10","1.913586256300092","0.925913883748752","3"
"q_learning_alpha0.1601472070845012_tau0.7760075672999556_tau_decay0.9651578970234708_seed30","q_learning","0.1601472070845012","30","0.7760075672999556","0.9651578970234708","16"
"q_learning_alpha0.713288550454795_tau2.698622192406724_tau_decay0.9513846668725816_seed30","q_learning","0.713288550454795","30","2.698622192406724","0.9513846668725816","8"
"q_learning_alpha0.7516309926475728_tau3.824227818185136_tau_decay0.9060189954804564_seed10","q_learning","0.7516309926475728","10","3.824227818185136","0.9060189954804564","13"
